id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2024-12-02,655.73,145887575.79,95646063853.98654,5,1465006765.1405237
binancecoin,2024-12-03,647.12,145887575.79,94366844096.0861,5,2373999130.8716054
binancecoin,2024-12-04,740.03,145887575.79,108108300474.1748,5,4567002669.157179
binancecoin,2024-12-05,736.44,145887575.79,107467583157.48167,5,6355347042.361618
binancecoin,2024-12-06,719.76,145887575.79,104903980762.58746,5,3821183229.578941
binancecoin,2024-12-07,732.54,145887575.79,106872608667.21408,5,2720943421.976397
binancecoin,2024-12-08,750.25,145887575.79,109451466413.20236,5,1748135790.7778006
binancecoin,2024-12-09,745.38,145887575.79,108738492023.74458,5,1318662772.5807214
binancecoin,2024-12-10,688.01,145887575.79,100338665906.47128,5,3134677046.188991
binancecoin,2024-12-11,675.42,145887575.79,98534549902.19531,5,3017514510.6277456
binancecoin,2024-12-12,710.69,145887575.79,103655308925.02592,5,1903416575.806963
binancecoin,2024-12-13,705.68,145887575.79,102923886014.42323,5,1993906415.0291083
binancecoin,2024-12-14,726.77,145887575.79,105993649633.03232,5,1900492715.31541
binancecoin,2024-12-15,715.45,145887575.79,104445915284.71416,5,1302217718.8769124
binancecoin,2024-12-16,722.56,145887575.79,105502278026.93062,5,1087890178.982156
binancecoin,2024-12-17,720.68,145887575.79,105222651998.97408,5,1589415330.8598354
binancecoin,2024-12-18,715.65,145887575.79,104491787287.6456,5,1610321650.477661
binancecoin,2024-12-19,687.66,145887575.79,100187667140.30516,5,2203892490.9307804
binancecoin,2024-12-20,669.02,145887575.79,97651283337.43568,5,2614960154.253572
binancecoin,2024-12-21,677.85,145887575.79,98743426119.72449,5,2728589291.527378
binancecoin,2024-12-22,662.42,145887575.79,96521740245.10835,5,1631846083.385121
binancecoin,2024-12-23,648.57,145887575.79,94636666608.3006,5,1137478924.2738469
binancecoin,2024-12-24,692.29,145887575.79,101000768912.15712,5,1945323070.2555032
binancecoin,2024-12-25,697.95,145887575.79,101662325640.72516,5,1163427672.65241
binancecoin,2024-12-26,702.35,145887575.79,102473517266.88692,5,788266049.0921909
binancecoin,2024-12-27,687.52,145887575.79,100313525889.4936,5,1081113208.9599752
binancecoin,2024-12-28,690.36,145887575.79,100706722790.1643,5,1083410181.1553583
binancecoin,2024-12-29,720.57,145887575.79,105195880146.45,5,1060863183.0711348
binancecoin,2024-12-30,694.48,145887575.79,101318707630.7003,5,760246771.2998646
binancecoin,2024-12-31,703.11,145887575.79,102466478284.721,5,994264720.23036
binancecoin,2025-01-01,701.57,145887575.79,102376145921.80864,5,1545176749.5279117
binancecoin,2025-01-02,705.81,145887575.79,102979866966.5999,5,477140166.4226887
binancecoin,2025-01-03,705.83,145887575.79,102972434554.93243,5,931592866.4969292
binancecoin,2025-01-04,713.05,145887575.79,103985181821.30656,5,945606974.3138424
binancecoin,2025-01-05,714.09,145887575.79,104197156232.23538,5,590551916.378533
binancecoin,2025-01-06,709.3,145887575.79,103477999966.75745,5,434122074.033253
binancecoin,2025-01-07,730.71,145887575.79,106614621781.16785,5,1171497671.843075
binancecoin,2025-01-08,696.83,145887575.79,101554459267.52985,5,1359650088.1812186
binancecoin,2025-01-09,695.73,145887575.79,101710496644.54108,5,1392556871.360185
binancecoin,2025-01-10,686.29,145887575.79,100189144310.80424,5,1115652343.2420957
binancecoin,2025-01-11,693.74,145887575.79,101242661656.3872,5,777565591.7749215
binancecoin,2025-01-12,696.73,145887575.79,101725692784.65048,5,346722702.76192135
binancecoin,2025-01-13,693.06,145887575.79,101115094667.83743,5,309732566.9199188
binancecoin,2025-01-14,688.36,145887575.79,100415036277.07848,5,1304110432.8852768
binancecoin,2025-01-15,698.74,145887575.79,101936484651.32497,5,599619371.3777287
binancecoin,2025-01-16,714.79,145887575.79,104240470660.6638,5,928085940.1618588
binancecoin,2025-01-17,708.78,145887575.79,103363421122.87009,5,972182171.6751366
binancecoin,2025-01-18,721.14,145887575.79,105205111175.12766,5,1011235352.5957952
binancecoin,2025-01-19,709.85,145887575.79,103559797374.0432,5,1331563415.498479
binancecoin,2025-01-20,682.35,145887575.79,99876651488.00716,5,2173870248.0155425
binancecoin,2025-01-21,677.26,145887575.79,98894421718.25883,5,2209856384.6278906
binancecoin,2025-01-22,693.06,145887575.79,100928851182.82266,5,1124646695.628625
